"entry","entry href","field-content","field-content 2"
"Fivemiletown College","https://www.eani.org.uk/parents/types-of-school/school-type/post-primary/fivemiletown-college","51 Colebrook Road, Fivemiletown, Co Tyrone, BT75 0SB","Post-Primary"
"Fivemiletown PS","https://www.eani.org.uk/parents/types-of-school/school-type/primary/fivemiletown-ps","166 Ballagh Road, Fivemiletown, Co. Tyrone, BT75 0QP","Primary"
"Fivemiletown PS NU","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/fivemiletown-ps-nu","166 Ballagh Road, Fivemiletown, Co Tyrone, BT75 0QP","Pre-School"
"Fleming Fulton School","https://www.eani.org.uk/parents/types-of-school/school-type/special-school/fleming-fulton-school-0","35 Upper Malone Road, BELFAST, CO ANTRIM, BT9 6TY","Special School"
"Florencecourt PS","https://www.eani.org.uk/parents/types-of-school/school-type/primary/florencecourt-ps","32 Marble Arch Road, Florencecourt, Enniskillen, Co. Fermanagh, BT92 1DD","Primary"
"Focus School, Newry [Also known as OneSchool Global UK]","https://www.eani.org.uk/parents/types-of-school/school-type/independent-school/focus-school-newry-also-known-as-oneschool","","Independent School"
"Foley PS [Tassagh]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/foley-ps-tassagh","60 Ballymacnab Road, Tassagh, Armagh, Co. Armagh, BT60 2QS","Primary"
"Forever Friends Cross Community PG","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/forever-friends-cross-community-pg","Gortgonis Citizen Centre, Gortgonis Playing Fields, Coalisland, Dungannon, Co Tyrone, BT71 4QG","Pre-School"
"Forge Integrated PG [Belfast]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/forge-integrated-pg-belfast","20 Carolan Road, Belfast, Co Antrim, BT7 3HE","Pre-School"
"Forge Integrated PS [Belfast]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/forge-integrated-ps-belfast","20 Carolan Road, Belfast, Co. Antrim, BT7 3HE","Primary"
"Forkhill Pre School PG","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/forkhill-pre-school-pg","93 Main Street, Shean, Forkhill, Newry, Co Armagh, BT35 8SQ","Pre-School"
"Fort Hill Integrated College [Lisburn]","https://www.eani.org.uk/parents/types-of-school/school-type/post-primary/fort-hill-integrated-college-lisburn","Belfast Road, Lisburn, Co Antrim, BT27 4TL","Post-Primary"
"Fort Hill Integrated PS [Lisburn]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/fort-hill-integrated-ps-lisburn","Low Road, Lisburn, Co. Antrim, BT27 4TJ","Primary"
"Fort Hill Integrated PS NU [Lisburn]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/fort-hill-integrated-ps-nu-lisburn","Low Road, Lisburn, Co Antrim, BT27 4TJ","Pre-School"
"Forth River PS [Belfast]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/forth-river-ps-belfast","100 Cairnmartin Road, Belfast, Co. Antrim, BT13 3PQ","Primary"
"Fountain PS [Londonderry]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/fountain-ps-londonderry","18 Hawkin Street, The Fountain, Londonderry, Co. Londonderry, BT48 6RD","Primary"
"Fountain PS NU [Londonderry]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/fountain-ps-nu-londonderry","18 Hawkin Street, Londonderry, Co Londonderry, BT48 6RD","Pre-School"
"Fourtowns PS [Ahoghill]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/fourtowns-ps-ahoghill","59 Cullybackey Road, Ahoghill, Ballymena, Co. Antrim, BT42 1LA","Primary"
"Foyle College","https://www.eani.org.uk/parents/types-of-school/school-type/post-primary/foyle-college","67 Limavady Road, Londonderry, Co Londonderry, BT47 6LR","Post-Primary"
"Friends' School [Lisburn]","https://www.eani.org.uk/parents/types-of-school/school-type/post-primary/friends-school-lisburn","6 Magheralave Road, Lisburn, Co Antrim, BT28 3BH","Post-Primary"
"Friends' School Preparatory [Lisburn]","https://www.eani.org.uk/parents/types-of-school/school-type/preps/friends-school-preparatory-lisburn","28 Fort Hill, Lisburn, Co. Antrim, BT28 3PH","Preps"
"Fullerton House Preparatory School [Belfast]","https://www.eani.org.uk/parents/types-of-school/school-type/preps/fullerton-house-preparatory-school-belfast","1 Malone Road, Belfast, Co. Antrim, BT9 6BY","Preps"
"Gaelcholaiste Dhoire","https://www.eani.org.uk/parents/types-of-school/school-type/post-primary/gaelcholaiste-dhoire","Dungiven Castle, Dungiven, Co Londonderry, BT47 4LF","Post-Primary"
"Gaelscoil An Chaistil [Ballycastle]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/gaelscoil-an-chaistil-ballycastle","5 Bothar Na Haithe, Bail An Chaistil, Co. Antrim, BT54 6QQ","Primary"
"Gaelscoil An Chaistil PS NU [Ballycastle]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/gaelscoil-an-chaistil-ps-nu-ballycastle","5 Kiln's Road, Ballycastle, Co Antrim, BT54 6QQ","Pre-School"
"Gaelscoil an Lonnain [Belfast]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/gaelscoil-an-lonnain-belfast","61 Falls Road, Belfast, Co. Antrim, BT12 4PD","Primary"
"Gaelscoil an tSeanchai [Magherafelt]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/gaelscoil-an-tseanchai-magherafelt","40 Meeting Street, Magherafelt, Co. Londonderry, BT45 6BW","Primary"
"Gaelscoil an tSeanchai PS NU [Magherafelt]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/gaelscoil-an-tseanchai-ps-nu-magherafelt","Naí-Aonad an tSeanchaí, 9 Queen's Avenue, Magherafelt, Co Londonderry, BT45 6BU","Pre-School"
"Gaelscoil Aodha Rua [Dungannon]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/gaelscoil-aodha-rua-dungannon","The Playing Fields, 97A Donaghmore Road, Dungannon, Co. Tyrone, BT70 1HD","Primary"
"Gaelscoil Eadain Mhoir [Derry]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/gaelscoil-eadain-mhoir-derry","128 Lecky Road, Londonderry, Co. Londonderry, BT48 6NP","Primary"
"Gaelscoil Eanna [Glengormley]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/gaelscoil-eanna-glengormley","St Enda's GAC, Hightown Road, Glengormley, Co. Antrim, BT36 7AU","Primary"
"Gaelscoil Eoghain","https://www.eani.org.uk/parents/types-of-school/school-type/primary/gaelscoil-eoghain","32 Chapel Street, Cookstown, Co. Tyrone, BT80 8QD","Primary"
"Gaelscoil Ghleann Darach [Crumlin]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/gaelscoil-ghleann-darach-crumlin","15C Glenavy Road, Crumlin, Co. Antrim, BT29 4LA","Primary"
"Gaelscoil Leim An Mhadaidh [Limavady]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/gaelscoil-leim-an-mhadaidh-limavady","153 Roemill Road, Limavady, Co. Derry, BT49 9EX","Primary"
"Gaelscoil Na Bhfal [Belfast]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/gaelscoil-na-bhfal-belfast","34a Iveagh Crescent, Belfast, Co. Antrim, BT12 6AW","Primary"
"Gaelscoil Na Bhfal PS NU [Belfast]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/gaelscoil-na-bhfal-ps-nu-belfast","34a Iveagh Crescent, Belfast, Co Antrim, BT12 6AW","Pre-School"
"Gaelscoil Na Daroige [Derry]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/gaelscoil-na-daroige-derry","Corráin Uí Nualláin, Baile Mhic Rabhartaigh, Doire, Co. Doire, BT48 0PD","Primary"
"Gaelscoil Na gCrann [Omagh]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/gaelscoil-na-gcrann-omagh","Ballinamullin Road, Omagh, Co. Tyrone, BT79 0PZ","Primary"
"Gaelscoil na mBeann [Kilkeel]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/gaelscoil-na-mbeann-kilkeel","127A Newcastle Road, Kilkeel, Newry, Co. Down, BT34 4NL","Primary"
"Gaelscoil na Mona [Belfast]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/gaelscoil-na-mona-belfast","1 Monagh Link, Turf Lodge, Belfast, Co. Antrim, BT11 8QB","Primary"
"Gaelscoil Na Speirini [Draperstown]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/gaelscoil-na-speirini-draperstown","82A Sixtowns Road, Draperstown, Magherafelt, Co. Londonderry, BT45 7BB","Primary"
"Gaelscoil Neachtain [Dungiven]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/gaelscoil-neachtain-dungiven","8 Chapel Road, Dungiven, Londonderry, Co. Londonderry, BT47 4RS","Primary"
"Gaelscoil Ui Dhochartaigh [Strabane]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/gaelscoil-ui-dhochartaigh-strabane","115 Ballycolman Estate, Strabane, Co. Tyrone, BT82 9AQ","Primary"
"Gaelscoil Ui Neill  [Dungannon]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/gaelscoil-ui-neill-dungannon","104 Washingbay Road, Coalisland, Dungannon, Co. Tyrone, BT71 4PU","Primary"
"Galliagh Nursery School","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/galliagh-nursery-school","1 Heather Road, L'derry, Co Londonderry, BT48 8NX","Pre-School"
"Garryduff PS [Ballymoney]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/garryduff-ps-ballymoney","133 Garryduff Road, Ballymoney, Co. Antrim, BT53 7DR","Primary"
"Garvagh Community Pre School PG","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/garvagh-community-pre-school-pg","C/O Carhill Integrated Primary School, 78 Carhill Road, Garvagh, Co Londonderry, BT51 5PQ","Pre-School"
"Garvagh PS","https://www.eani.org.uk/parents/types-of-school/school-type/primary/garvagh-ps","1 Coleraine Road, Garvagh, Coleraine, Co. Londonderry, BT51 5HP","Primary"
