"entry","entry href","field-content","field-content 2"
"174 Trust PG","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/174-trust-pg","Duncairn Complex, Duncairn Avenue, Belfast, Co. Antrim, BT14 6BP","Pre-School"
"Abbey Christian Brothers Grammar [Newry]","https://www.eani.org.uk/parents/types-of-school/school-type/post-primary/abbey-christian-brothers-grammar-newry","77A Ashgrove Road, Newry, Co. Down, BT34 1QN","Post-Primary"
"Abbey Community College [Newtownabbey]","https://www.eani.org.uk/parents/types-of-school/school-type/post-primary/abbey-community-college-newtownabbey","100 Bridge Road, Newtownabbey, Co. Antrim, BT37 0EA","Post-Primary"
"Abbey PS [Newtownards]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/abbey-ps-newtownards","90 Movilla Road, Newtownards, Co. Down, BT23 8RQ","Primary"
"Abbey PS NU [Newtownards]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/abbey-ps-nu-newtownards","90 Movilla Road, Newtownards, Co. Down, BT23 8RQ","Pre-School"
"Abbots Cross PS [Newtownabbey]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/abbots-cross-ps-newtownabbey","86 Doagh Road, Newtownabbey, Co. Antrim, BT37 9QW","Primary"
"Abercorn PS [Banbridge]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/abercorn-ps-banbridge","Newry Road, Banbridge, Co. Down, BT32 3HR","Primary"
"Academy Nursery School PS NU [Saintfield]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/academy-nursery-school-ps-nu-saintfield","194 Listooder Road, Saintfield, Ballynahinch, Co. Down, BT24 7JA","Pre-School"
"Academy PS [Saintfield]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/academy-ps-saintfield","194 Listooder Road, Saintfield, Ballynahinch, Co. Down, BT24 7JA","Primary"
"Acorn Integrated PS [Carrickfergus]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/acorn-integrated-ps-carrickfergus","110 Victoria Road, Carrickfergus, Co. Antrim, BT38 7JL","Primary"
"Acorn Integrated PS NU [Carrickfergus]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/acorn-integrated-ps-nu-carrickfergus","110 Victoria Road, Carrickfergus, Co. Antrim, BT38 7JL","Pre-School"
"Aghadowey Pre School PG","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/aghadowey-pre-school-pg","32 Mullaghinch Road, Aghadowey, Coleraine, Co. Londonderry, BT51 4AP","Pre-School"
"Aghadrumsee PS [Roslea]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/aghadrumsee-ps-roslea","14 Aghadrumsee Road, Roslea, Enniskillen, Co. Fermanagh, BT92 7AU","Primary"
"Aghagallon Pre-School PG [Craigavon]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/aghagallon-pre-school-pg-craigavon","3 Aghalee Road, Aghagallon, Craigavon, Co. Antrim, BT67 0AR","Pre-School"
"Ahoghill & District Community Pre School PG","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/ahoghill-district-community-pre-school-pg","Ahoghill Community Centre, 80 Cullybackey Road, Ahoghill, Ballymena, Co Antrim, BT42 1LA","Pre-School"
"Alexander Dickson PS [Ballygowan]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/alexander-dickson-ps-ballygowan","Comber Road, Ballygowan, Newtownards, Co. Down, BT23 5TN","Primary"
"All Children's Integrated PS [Newcastle]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/all-childrens-integrated-ps-newcastle","The Walled Garden , King Street, Newcastle, Co. Down, BT33 0HD","Primary"
"All Saint's PS [Tattysallagh]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/all-saints-ps-tattysallagh","42 Tattysallagh Road, Omagh, Co. Tyrone, BT78 5BR","Primary"
"All Saints College","https://www.eani.org.uk/parents/types-of-school/school-type/post-primary/all-saints-college","Glen Road, Belfast, Co Antrim, BT11 8BW","Post-Primary"
"All Saints PS NU [Annaclone]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/all-saints-ps-nu-annaclone","c/o St Colman's PS, Annaclone, Banbridge, Co Down, BT32 5LS","Pre-School"
"Alphabet PG [Greenisland]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/alphabet-pg-greenisland","Greenisland Community Centre, Glassillan Grove, Greenisland,  BT38 8TE","Pre-School"
"Ampertaine PS [Maghera]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/ampertaine-ps-maghera","94 Kilrea Road, Upperlands, Maghera , Co. Londonderry, BT46 5SB","Primary"
"Anahilt Pre School PG","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/anahilt-pre-school-pg","29a West Winds Terrace, Anahilt, Hillsborough, Co Down, BT26 6BS","Pre-School"
"Anahilt PS","https://www.eani.org.uk/parents/types-of-school/school-type/primary/anahilt-ps","248 Ballynahinch Road, Hillsborough, Co. Down, BT26 6BP","Primary"
"Anahorish PS [Toomebridge]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/anahorish-ps-toomebridge","120 Deer Park Road, Toomebridge, Antrim, Co. Antrim, BT41 3SS","Primary"
"Andrews Memorial PS [Newtownards]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/andrews-memorial-ps-newtownards","4 Ballygowan Road, Comber, Newtownards, Co. Down, BT23 5PG","Primary"
"Annalong PS [Newry]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/annalong-ps-newry","31 Kilkeel Road, Annalong, Newry, Co. Down, BT34 4TH","Primary"
"Annalong PS NU [Newry]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/annalong-ps-nu-newry","31 Kilkeel Road, Annalong, Newry, Co Down, BT34 4TS","Pre-School"
"Annsborough Integrated PS [Castlewellan]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/annsborough-integrated-ps-castlewellan","51 Ballylough Road, Castlewellan, Co. Down, BT31 9NN","Primary"
"Antrim Grammar School","https://www.eani.org.uk/parents/types-of-school/school-type/post-primary/antrim-grammar-school","10 Steeple Road, Antrim, Co Antrim, BT41 1AF","Post-Primary"
"Antrim PS","https://www.eani.org.uk/parents/types-of-school/school-type/primary/antrim-ps","31 Station Road, Antrim, Co. Antrim, BT41 4AB","Primary"
"Apple Blossom PG [Eglish]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/apple-blossom-pg-eglish","St John's Primary School, 57 Eglish Road, Portadown, Craigavon, Co Armagh, BT62 1NL","Pre-School"
"Apple Blossom Pre School PG [Downpatrick]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/apple-blossom-pre-school-pg-downpatrick","(on grounds of St Joseph’s Primary School), 4 Ballynahinch Road, Crossgar, Co Down, BT30 9HS","Pre-School"
"Apple Tree Childcare PG [Garvagh]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/apple-tree-childcare-pg-garvagh","37-39 Tirkeeran Road, Garvagh, Coleraine, Co Londonderry, BT51 5AX","Pre-School"
"Aquinas Grammar School [Belfast]","https://www.eani.org.uk/parents/types-of-school/school-type/post-primary/aquinas-grammar-school-belfast","518 Ravenhill Road, Belfast, Co Antrim, BT6 0BY","Post-Primary"
"Ardglass Pre School PG","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/ardglass-pre-school-pg","21 Downpatrick Road, Ardglass, Co Down, BT30 7SF","Pre-School"
"Ardmore House School","https://www.eani.org.uk/parents/types-of-school/school-type/special-school/ardmore-house-school-0","95a Saul Street, DOWNPATRICK, CO DOWN, BT30 6NJ","Special School"
"Ardnashee School and College","https://www.eani.org.uk/parents/types-of-school/school-type/special-school/ardnashee-school-and-college","17 Racecourse Road, LONDONDERRY, CO LONDONDERRY, BT48 7RE","Special School"
"Ardstraw Community PG","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/ardstraw-community-pg","11a Deerpark Road, Ardstraw, Newtownstewart, Co Tyrone, BT78 4LL","Pre-School"
"Ardstraw Jubilee PS","https://www.eani.org.uk/parents/types-of-school/school-type/primary/ardstraw-jubilee-ps","Deerpark Road, Newtownstewart, Omagh, Co. Tyrone, BT78 4LA","Primary"
"Arellian Nursery School [Belfast]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/arellian-nursery-school-belfast","50 Bentham Drive, Belfast, Co Antrim, BT12 5NS","Pre-School"
"Armagh Christian Brothers PS","https://www.eani.org.uk/parents/types-of-school/school-type/primary/armagh-christian-brothers-ps","Greenpark, Keady Road, Armagh, Co. Armagh, BT60 4AB","Primary"
"Armagh Royal Preparatory Department","https://www.eani.org.uk/parents/types-of-school/school-type/preps/armagh-royal-preparatory-department","College Hill, Armagh, Co. Armagh, BT61 9DH","Preps"
"Armoy Cross Community PG [Ballymoney]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/armoy-cross-community-pg-ballymoney","12 Main Street, Armoy, Ballymoney, Co Antrim, BT53 8RQ","Pre-School"
"Armoy PS [Ballymoney]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/armoy-ps-ballymoney","2 Gracehill Road, Armoy, Ballymoney, Co. Antrim, BT53 8TD","Primary"
"Artigarvan Community Nursery","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/artigarvan-community-nursery","c/o Artigarvan PS, 31 Berryhill Road, Artigarvan, Strabane, Co Tyrone, BT82 0HN","Pre-School"
"Artigarvan PS [Strabane]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/artigarvan-ps-strabane","31 Berryhill Road, Artigarvan, Strabane, Co. Tyrone, BT82 0HN","Primary"
"Arvalee School and Resource Centre","https://www.eani.org.uk/parents/types-of-school/school-type/special-school/arvalee-school-and-resource-centre-0","Strule Shared Education Campus, Gortin Road, OMAGH, CO TYRONE, BT79 7DH","Special School"
"Ashfield Boys' High School [Belfast]","https://www.eani.org.uk/parents/types-of-school/school-type/post-primary/ashfield-boys-high-school-belfast","395 Holywood Road, Belfast, Co Antrim, BT4 2LY","Post-Primary"
"Ashfield Girls' High School [Belfast]","https://www.eani.org.uk/parents/types-of-school/school-type/post-primary/ashfield-girls-high-school-belfast","397 Holywood Road, Belfast, Co Antrim, BT4 2LY","Post-Primary"
"Ashgrove Nursery School [Newry]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/ashgrove-nursery-school-newry","23 Chestnut Grove, Newry, Co Down, BT34 1JT","Pre-School"
"Ashgrove Nursery School [Newtownabbey]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/ashgrove-nursery-school-newtownabbey","Ashgrove Road, Newtownabbey, Co Antrim, BT36 6LJ","Pre-School"
"Ashgrove PS [Newtownabbey]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/ashgrove-ps-newtownabbey","Ashgrove Road, Carnmoney, Newtownabbey, Co. Antrim, BT36 6LJ","Primary"
"Ashlea PS [Tullyally]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/ashlea-ps-tullyally","163 Stevenson Park, Tullyally, Londonderry, Co. Londonderry, BT47 3QT","Primary"
"Ashlea PS NU [Tullyally]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/ashlea-ps-nu-tullyally","163 Stevenson Park, Tullyally, Londonderry, Co Londonderry, BT47 3QT","Pre-School"
"Assumption Grammar School [Ballynahinch]","https://www.eani.org.uk/parents/types-of-school/school-type/post-primary/assumption-grammar-school-ballynahinch","22-24 Belfast Road, Ballynahinch, Co Down, BT24 8EA","Post-Primary"
"Atticall PG [Kilkeel]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/atticall-pg-kilkeel","Atticall Community Centre, 140 Tullyframe Road, Kilkeel, Co Down, BT34 4RZ","Pre-School"
"Augher Central PS","https://www.eani.org.uk/parents/types-of-school/school-type/primary/augher-central-ps","17 Knockmany Road, Augher, Co. Tyrone, BT77 0BE","Primary"
"Aughnacloy College","https://www.eani.org.uk/parents/types-of-school/school-type/post-primary/aughnacloy-college","23 Carnteel Road, Aughnacloy, Co Tyrone, BT69 6DX","Post-Primary"
"Aughnacloy PG Ltd","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/aughnacloy-pg-ltd","Unit 1, 12b Carnteel Road, Aughnacloy, Co Tyrone, BT69 6DU","Pre-School"
"Aughnacloy PS","https://www.eani.org.uk/parents/types-of-school/school-type/primary/aughnacloy-ps","1 Carnteel Road, Aughnacloy, Co. Tyrone, BT69 6DU","Primary"
"Ballee Pre School PG [Ballymena]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/ballee-pre-school-pg-ballymena","Ballee Community Childcare Centre, 20 Antrim Road, Ballymena, Co Antrim, BT42 2BJ","Pre-School"
"Ballinamallard Community Nursery","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/ballinamallard-community-nursery","c/o Ballinamallard PS, 6 Irvinestown Road, Ballinamallard, Co Fermanagh, BT94 2GG","Pre-School"
"Ballinamallard PS","https://www.eani.org.uk/parents/types-of-school/school-type/primary/ballinamallard-ps","19 Baragh Road, Ballinamallard, Enniskillen, Co. Fermanagh, BT94 2NY","Primary"
"Ballinascreen Early Years PG","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/ballinascreen-early-years-pg","The Business Park, Tobermore Road, Draperstown, Magherafelt, Co Londonderry, BT45 7AG","Pre-School"
"Ballinderry Bridge PG","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/ballinderry-bridge-pg","Ballinderry Parochial Hall, Ballinderry Bridge Road, Coagh, Cookstown, Co Londonderry, BT80 0AY","Pre-School"
"Ballinderry PS","https://www.eani.org.uk/parents/types-of-school/school-type/primary/ballinderry-ps","8D Crumlin Road, Upper Ballinderry, Lisburn, Co. Antrim, BT28 2BF","Primary"
"Ballinderry PS NU","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/ballinderry-ps-nu","8D Crumlin Road, Ballinderry, Lisburn, Co Antrim, BT28 2BF","Pre-School"
"Ballougry PS","https://www.eani.org.uk/parents/types-of-school/school-type/primary/ballougry-ps","30 Mullenan Road, Ballougry, Londonderry, Co. Londonderry, BT48 9XN","Primary"
"Ballybeen Women's Centre PG [Dundonald]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/ballybeen-womens-centre-pg-dundonald","31/32 Ballybeen Square, Dundonald, Co Down, BT16 2QE","Pre-School"
"Ballycarrickmaddy PS [Lisburn]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/ballycarrickmaddy-ps-lisburn","1A Killultagh Road, Ballinderry Upper, Lisburn, Co. Antrim, BT28 2NX","Primary"
"Ballycarry PS [Carrickfergus]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/ballycarry-ps-carrickfergus","23 Hillhead Road, Ballycarry, Carrickfergus, Co. Antrim, BT38 9HE","Primary"
"Ballycastle High School","https://www.eani.org.uk/parents/types-of-school/school-type/post-primary/ballycastle-high-school","33 Rathlin Road, Ballycastle, Co Antrim, BT54 6LD","Post-Primary"
"Ballycastle Integrated PS","https://www.eani.org.uk/parents/types-of-school/school-type/primary/ballycastle-integrated-ps","43 Quay Road, Ballycastle, Co. Antrim, BT54 6BJ","Primary"
"Ballycastle Integrated PS NU","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/ballycastle-integrated-ps-nu","43 Quay Road, Ballycastle, Co Antrim, BT54 6BJ","Pre-School"
"Ballyclare High School","https://www.eani.org.uk/parents/types-of-school/school-type/post-primary/ballyclare-high-school","31 Rashee Road, Ballyclare, Co Antrim, BT39 9HJ","Post-Primary"
"Ballyclare Nursery School","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/ballyclare-nursery-school","Grange Drive, Ballyclare, Co Antrim, BT39 9EY","Pre-School"
"Ballyclare PS","https://www.eani.org.uk/parents/types-of-school/school-type/primary/ballyclare-ps","Doagh Road, Ballyclare, Co. Antrim, BT39 9BG","Primary"
"Ballyclare Secondary School","https://www.eani.org.uk/parents/types-of-school/school-type/post-primary/ballyclare-secondary-school","19 Doagh Road, Ballyclare, Co Antrim, BT39 9BG","Post-Primary"
"Ballycraigy PS","https://www.eani.org.uk/parents/types-of-school/school-type/primary/ballycraigy-ps","Bracken Avenue, Antrim, Co. Antrim, BT41 1PU","Primary"
"Ballycrochan PG","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/ballycrochan-pg","34a Silverbirch Road, Bangor, Co Down, BT19 6EU","Pre-School"
"Ballydown PS [Banbridge]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/ballydown-ps-banbridge","64 Lisnaree Road, Banbridge, Co. Down, BT32 4JN","Primary"
"Ballydown PS NU [Banbridge]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/ballydown-ps-nu-banbridge","64 Lisnaree Road, Banbridge, Co Down, BT32 4JN","Pre-School"
"Ballygawley Early Years PG Ltd","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/ballygawley-early-years-pg-ltd","Fairfield House, Playing Fields, Off Main Street, Ballygawley, Dungannon, Co Tyrone, BT70 2HD","Pre-School"
"Ballygowan Community Pre School & PG","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/ballygowan-community-pre-school-pg","Comber Road, Ballygowan, Co Down, BT23 5TN","Pre-School"
"Ballyhenry Nursery School","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/ballyhenry-nursery-school","Glenvarna Court, Glengormley, Newtownabbey, Co Antrim, BT36 5JD","Pre-School"
"Ballyhenry PS [Newtownabbey]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/ballyhenry-ps-newtownabbey","Ballyhenry Avenue, Newtownabbey, Co. Antrim, BT36 5AZ","Primary"
"Ballyholland PS [Newry]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/ballyholland-ps-newry","60 Bettys Hill Road, Newry, Co. Down, BT34 2ND","Primary"
"Ballyholme Presbyterian Church Pre School PG","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/ballyholme-presbyterian-church-pre-school-pg","46 Ashley Drive, Bangor, Co Down, BT20 5RD","Pre-School"
"Ballyholme PS [Bangor]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/ballyholme-ps-bangor","6 Glenburn Park, Bangor, Co. Down, BT20 5RG","Primary"
"Ballykeel PS [Ballymena]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/ballykeel-ps-ballymena","22 Crebilly Road, Ballymena, Co. Antrim, BT42 4DN","Primary"
"Ballykeel PS NU [Ballymena]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/ballykeel-ps-nu-ballymena","22 Crebilly Road, Ballymena, Co Antrim, BT42 4DN","Pre-School"
"Ballykelly PS","https://www.eani.org.uk/parents/types-of-school/school-type/primary/ballykelly-ps","8 Glenhead Road, Ballykelly, Limavady, Co. Londonderry, BT49 9JS","Primary"
"Ballykelly PS NU","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/ballykelly-ps-nu","8 Glenhead Road, Limavady, Co Londonderry, BT49 9JS","Pre-School"
"Ballylifford PS [Coagh]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/ballylifford-ps-coagh","142 Ballinderry Bridge Road, Coagh, Cookstown, Co. Tyrone, BT80 0AY","Primary"
"Ballymacash PS [Lisburn]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/ballymacash-ps-lisburn","16 Brokerstown Road, Lisburn, Co. Antrim, BT28 2EE","Primary"
"Ballymacash PS NU [Lisburn]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/ballymacash-ps-nu-lisburn","16 Brokerstown Road, Lisburn, Co Antrim, BT28 2EE","Pre-School"
"Ballymacrickett PS [Glenavy]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/ballymacrickett-ps-glenavy","41 Scroggy Road, Glenavy, Crumlin, Co. Antrim, BT29 4NE","Primary"
"Ballymacrickett PS NU [Glenavy]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/ballymacrickett-ps-nu-glenavy","41 Scroggy Road, Glenavy, Co Antrim, BT29 4NE","Pre-School"
"Ballymacward Pre School PG [Lisburn]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/ballymacward-pre-school-pg-lisburn","c/o Ballymacward Primary School, 22a Rock Road, Stoneyford, Lisburn, Co Antrim, BT28 3SU","Pre-School"
"Ballymacward PS [Lisburn]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/ballymacward-ps-lisburn","22 Rock Road, Lisburn, Co. Antrim, BT28 3SU","Primary"
"Ballymagee PS [Bangor]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/ballymagee-ps-bangor","77 Ashbury Avenue, Bangor, Co. Down, BT19 6ZG","Primary"
"Ballymagee PS NU [Bangor]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/ballymagee-ps-nu-bangor","77 Ashbury Avenue, Bangor, Co Down, BT19 6ZG","Pre-School"
"Ballymena Academy","https://www.eani.org.uk/parents/types-of-school/school-type/post-primary/ballymena-academy","89 Galgorm Road, Ballymena, Co Antrim, BT42 1AJ","Post-Primary"
"Ballymena Nursery School","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/ballymena-nursery-school","Trostan Avenue, Ballymena, Co Antrim, BT43 7BL","Pre-School"
"Ballymena PS","https://www.eani.org.uk/parents/types-of-school/school-type/primary/ballymena-ps","101 Ballymoney Road, Ballymena, Co. Antrim, BT43 5BX","Primary"
"Ballymoney & District Community PG","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/ballymoney-district-community-pg","Trinity Church Hall, Rodeing Foot, Ballymoney, Co Antrim, BT53 6JJ","Pre-School"
"Ballymoney High School","https://www.eani.org.uk/parents/types-of-school/school-type/post-primary/ballymoney-high-school","17 Garryduff Road, Ballymoney, Co Antrim, BT53 7AN","Post-Primary"
"Ballymoney Model Controlled Integrated PS","https://www.eani.org.uk/parents/types-of-school/school-type/primary/ballymoney-model-controlled-integrated-ps","North Road, Ballymoney, Co. Antrim, BT53 6BW","Primary"
"Ballymoney Nursery School","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/ballymoney-nursery-school","North Road, Ballymoney, Co Antrim, BT53 6BW","Pre-School"
"Ballynahinch PS","https://www.eani.org.uk/parents/types-of-school/school-type/primary/ballynahinch-ps","Croob Park, Ballynahinch, Co. Down, BT24 8BB","Primary"
"Ballynahinch PS NU","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/ballynahinch-ps-nu","Croob Park, Ballynahinch, Co Down, BT24 8BB","Pre-School"
"Ballynure PS","https://www.eani.org.uk/parents/types-of-school/school-type/primary/ballynure-ps","2 Lismenary Road, Ballynure, Ballyclare, Co. Antrim, BT39 9UE","Primary"
"Ballyoran PS","https://www.eani.org.uk/parents/types-of-school/school-type/primary/ballyoran-ps","Ballyoran Park, Portadown, Craigavon, Co. Armagh, BT62 1JY","Primary"
"Ballyoran PS NU","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/ballyoran-ps-nu","Ballyoran Park, Portadown, Craigavon, Co Armagh, BT62 1JY","Pre-School"
"Ballyore Community Nursery","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/ballyore-community-nursery","c/o Newbuildings PS, 83 Victoria Road, Newbuildings, Londonderry, Co Londonderry, BT47 2RL","Pre-School"
"Ballyronan Community PG","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/ballyronan-community-pg","Marina Centre, 135a Shore Road, Ballyronan, Magherafelt, Co Londonderry, BT45 6JA","Pre-School"
"Ballysally Nursery School","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/ballysally-nursery-school","28a Ballysally Road, Coleraine, Co Londonderry, BT52 2QA","Pre-School"
"Ballysally PS [Coleraine]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/ballysally-ps-coleraine","52 Danes Hill Road, Coleraine, Co. Londonderry, BT52 2QU","Primary"
"Ballysillan PS","https://www.eani.org.uk/parents/types-of-school/school-type/primary/ballysillan-ps","Ballysillan Park, Belfast, Co. Antrim, BT14 8LT","Primary"
"Ballysillan PS NU","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/ballysillan-ps-nu","Ballysillan Park, Belfast, Co Antrim, BT14 8LT","Pre-School"
"Ballytober PS [Bushmills]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/ballytober-ps-bushmills","60 Priestland Road, Bushmills, Co. Antrim, BT57 8UR","Primary"
"Ballytrea PS [Stewartstown]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/ballytrea-ps-stewartstown","52 Gortnaskea Road, Stewartstown, Dungannon, Co. Tyrone, BT71 5NY","Primary"
"Ballyvester PS [Donaghadee]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/ballyvester-ps-donaghadee","244 Killaughey Road, Donaghadee, Co. Down, BT21 0NF","Primary"
"Ballywalter Pre School Unit PG","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/ballywalter-pre-school-unit-pg","c/o Ballywalter Primary School, 12 Stump Road, Ballywalter, Co Down, BT22 2NT","Pre-School"
"Ballywalter PS [Ballywater]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/ballywalter-ps-ballywater","12 Stump Road, Ballywalter, Newtownards, Co. Down, BT22 2NT","Primary"
"Balnamore PS [Ballymoney]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/balnamore-ps-ballymoney","80 Balnamore Road, Ballymoney, Co. Antrim, BT53 7PT","Primary"
"Banagher Community PG [Feeney]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/banagher-community-pg-feeney","4a Beechmount, Feeny, Co Londonderry, BT47 4TZ","Pre-School"
"Banana Bunch PG [Carrickfergus]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/banana-bunch-pg-carrickfergus","Whitehead Presbyterian Church Hall, Kings Road, Whitehead, Carrickfergus, Co Antrim, BT38 9PU","Pre-School"
"Banbridge Academy","https://www.eani.org.uk/parents/types-of-school/school-type/post-primary/banbridge-academy","3 Lurgan Road, Banbridge, Co Down, BT32 4AQ","Post-Primary"
"Banbridge High School","https://www.eani.org.uk/parents/types-of-school/school-type/post-primary/banbridge-high-school","69A Primrose Gardens, Banbridge, Co Down, BT32 3EW","Post-Primary"
"Banbridge Nursery School","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/banbridge-nursery-school","3A Lurgan Road, Banbridge, Co Down, BT32 4AF","Pre-School"
"Bangor Abbey Pre-School Centre Ltd PG","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/bangor-abbey-pre-school-centre-ltd-pg","Clandeboye PS, Clandeboye Road, Bangor, Co Down, BT20 3JW","Pre-School"
"Bangor Academy & Sixth Form College","https://www.eani.org.uk/parents/types-of-school/school-type/post-primary/bangor-academy-sixth-form-college","2 Castle Park Road, Bangor, Co Down, BT20 4TB","Post-Primary"
"Bangor Central Integrated PS","https://www.eani.org.uk/parents/types-of-school/school-type/primary/bangor-central-integrated-ps","6 Castle Park Road, Bangor, Co. Down, BT20 4TF","Primary"
"Bangor Grammar School","https://www.eani.org.uk/parents/types-of-school/school-type/post-primary/bangor-grammar-school","84 Gransha Road, Bangor, Co Down, BT19 7QU","Post-Primary"
"Bangor Integrated Nursery School","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/bangor-integrated-nursery-school","4 Castle Park Road, Bangor, Co Down, BT20 4TF","Pre-School"
"Bangor West Nursery PG","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/bangor-west-nursery-pg","West Church Halls, 91 Crawfordsburn Road, Bangor, Co Down, BT19 1BG","Pre-School"
"Barbour Nursery School [Lisburn]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/barbour-nursery-school-lisburn","73 Ashmount Gardens, Lisburn, Co Antrim, BT27 5BZ","Pre-School"
"Beechlawn School","https://www.eani.org.uk/parents/types-of-school/school-type/special-school/beechlawn-school-0","3 Dromore Road, HILLSBOROUGH, CO DOWN, BT26 6PA","Special School"
